Name,Team,Name,Age,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,AVG,OBP,SLG,wOBA,WAR,wRC+,NameASCII,PlayerId,MLBAMID
"Luke Maile","KCR","Luke Maile",34,7,8,11,3,0,0,1,3,1,3,1,0.375,0.545454545,0.75,0.5342475500973788,0.2576941213372733,249.5609598920317,"Luke Maile",13355,571912
"Alex Jackson","BAL","Alex Jackson",29,12,23,23,7,4,0,3,7,4,0,8,0.304347826,0.304347826,0.869565217,0.48346963136092475,0.5474862661350955,219.0407336521456,"Alex Jackson",17276,656577
"Aaron Judge","NYY","Aaron Judge",33,103,377,459,129,24,2,37,90,85,73,120,0.342175066,0.448801742,0.710875331,0.4665176156494353,6.968525614501637,207.0460776960106,"Aaron Judge",15640,592450
"Luke Keaschall","MIN","Luke Keaschall",22,7,19,26,7,3,0,0,4,2,5,2,0.368421052,0.538461538,0.526315789,0.46874929849918073,0.5047095956342184,206.69720804033494,"Luke Keaschall",33321,807712
"José Fermín","STL","José Fermín",26,11,19,21,7,2,0,1,2,2,2,2,0.368421052,0.428571428,0.631578947,0.4501837548755464,0.390306706670767,196.1034468017514,"Jose Fermin",21746,665877
"James McCann","ARI","James McCann",35,15,38,47,13,2,0,2,7,5,7,10,0.342105263,0.468085106,0.552631578,0.4426683872304064,0.6937945045192399,187.82347544853027,"James McCann",12859,543510
"Tyler Black","MIL","Tyler Black",24,3,6,8,2,1,0,0,1,1,2,1,0.333333333,0.5,0.5,0.4396659880876541,0.04059690607363693,187.50559417559512,"Tyler Black",29949,672012
"Nick Kurtz","ATH","Nick Kurtz",22,67,243,276,75,18,2,23,46,59,29,86,0.308641975,0.378181818,0.683127572,0.4385492044643764,3.0459416758045053,183.8302982591869,"Nick Kurtz",35110,701762
"Ronald Acuña Jr.","ATL","Ronald Acuña Jr.",27,52,187,225,58,9,1,13,46,24,38,62,0.310160427,0.426666666,0.577540106,0.4265301505546399,2.3610512462737168,177.28222154583744,"Ronald Acuna Jr.",18401,660670
"Joey Loperfido","TOR","Joey Loperfido",26,14,39,43,14,1,0,2,4,7,3,8,0.358974358,0.418604651,0.538461538,0.4146515394366065,0.46678147462363284,170.79019322655122,"Joey Loperfido",29630,694388
"Cal Raleigh","SEA","Cal Raleigh",28,102,381,453,98,16,0,40,70,85,64,116,0.257217847,0.368653421,0.614173228,0.40398422917541194,6.357411670363215,169.36954072455072,"Cal Raleigh",21534,663728
"Shohei Ohtani","LAD","Shohei Ohtani",30,101,395,464,107,11,7,37,96,70,63,123,0.270886075,0.373650107,0.615189873,0.4076461342319978,4.383733775967091,165.3268799222097,"Shohei Ohtani",19755,660271
"Will Smith","LAD","Will Smith",30,80,270,321,87,15,1,14,50,47,43,60,0.322222222,0.414330218,0.54074074,0.4074813129380345,3.513365324213482,165.21397896829242,"Will Smith",19197,669257
"Jonny DeLuca","TBR","Jonny DeLuca",26,10,27,29,11,0,1,0,4,1,2,5,0.407407407,0.448275862,0.481481481,0.40660606992655784,0.44183009468928147,163.761553456353,"Jonny DeLuca",26365,676356
"Kyle Schwarber","PHI","Kyle Schwarber",32,104,386,464,99,15,1,36,75,84,70,122,0.256476683,0.381465517,0.58031088,0.40502948127281174,3.7020247184970874,161.41498118489793,"Kyle Schwarber",16478,656941
"Ketel Marte","ARI","Ketel Marte",31,73,271,320,77,14,0,20,55,41,44,49,0.284132841,0.390625,0.557195571,0.4011630351784863,3.192449057591264,159.39272037643892,"Ketel Marte",13613,606466
"Kyle Stowers","MIA","Kyle Stowers",27,99,332,380,99,17,3,23,52,62,39,105,0.298192771,0.377308707,0.575301204,0.40110746358937405,3.774134993447996,158.99788140925875,"Kyle Stowers",26151,669065
"Michael Busch","CHC","Michael Busch",27,96,320,364,91,15,3,20,48,60,36,84,0.284375,0.37087912,0.5375,0.3885084610668424,2.7749600592202945,153.5007770139688,"Michael Busch",26319,683737
"Tyler Heineman","TOR","Tyler Heineman",34,38,91,106,30,6,0,3,19,16,7,21,0.329670329,0.394230769,0.494505494,0.3834996395386182,1.6403706427621485,149.3292032030045,"Tyler Heineman",13897,623168
"George Springer","TOR","George Springer",35,99,336,398,98,18,1,18,64,56,50,74,0.291666666,0.382653061,0.511904761,0.3834966207709154,2.7527067310515454,149.32712353069667,"George Springer",12856,543807
"Iván Herrera","STL","Iván Herrera",25,52,189,215,59,8,0,9,24,39,21,41,0.312169312,0.386046511,0.497354497,0.3818674744561661,1.559296297791514,149.3074713427295,"Ivan Herrera",20599,671056
"Heriberto Hernández","MIA","Heriberto Hernández",25,35,92,102,30,5,0,4,14,16,9,28,0.326086956,0.382352941,0.510869565,0.3839536145621655,0.8030743307246876,147.24766472332084,"Heriberto Hernandez",24878,681715
"Carson Kelly","CHC","Carson Kelly",30,67,218,255,60,12,1,13,38,36,32,40,0.275229357,0.36862745,0.518348623,0.3790906419941023,2.5716316101164916,147.0496642265046,"Carson Kelly",13620,608348
"Alex Bregman","BOS","Alex Bregman",31,61,232,261,69,19,0,12,35,39,22,44,0.297413793,0.371647509,0.534482758,0.38700735339751613,2.5297787282570243,146.94562653643825,"Alex Bregman",17678,608324
"Giancarlo Stanton","NYY","Giancarlo Stanton",35,28,94,106,26,3,0,7,13,20,11,32,0.276595744,0.358490566,0.531914893,0.3787939179511297,0.5838179085621553,146.61196589875408,"Giancarlo Stanton",4949,519317
"Juan Soto","NYM","Juan Soto",26,104,369,458,93,16,0,24,73,61,83,86,0.25203252,0.387308533,0.490514905,0.3740831535043461,2.973977668387813,145.12827918897935,"Juan Soto",20123,665742
"Byron Buxton","MIN","Byron Buxton",31,85,326,364,92,14,4,23,68,59,29,97,0.282208588,0.343406593,0.561349693,0.3792465460893199,3.7597245094907623,145.0374799711638,"Byron Buxton",14161,621439
"José Ramírez","CLE","José Ramírez",32,101,379,432,113,20,2,21,64,56,42,46,0.298153034,0.372685185,0.527704485,0.3742988454668145,4.5157796300526,143.57157397388642,"Jose Ramirez",13510,608070
"Kyle Tucker","CHC","Kyle Tucker",28,100,372,444,103,18,4,18,71,57,65,63,0.27688172,0.384615384,0.491935483,0.3739974882410861,3.905829883645689,143.56090435005854,"Kyle Tucker",18345,663656
"Jeremy Peña","HOU","Jeremy Peña",27,82,317,350,102,18,1,11,48,40,20,55,0.321766561,0.378223495,0.48895899,0.374785123885363,4.043839671342536,143.29731391634098,"Jeremy Pena",21636,665161
"Rob Brantly","MIA","Rob Brantly",35,3,7,7,3,0,0,0,0,1,0,1,0.428571428,0.428571428,0.428571428,0.3781761952808925,-0.008601206325604993,143.2901897372232,"Rob Brantly",10655,542963
"Eugenio Suárez","ARI","Eugenio Suárez",33,103,377,425,94,18,0,36,64,87,29,113,0.24933687,0.32,0.583554376,0.37719045481029545,3.0519543068450146,142.9717402570201,"Eugenio Suarez",12552,553993
"Jonathan Aranda","TBR","Jonathan Aranda",27,98,340,388,107,21,0,11,50,51,38,96,0.314705882,0.394329896,0.473529411,0.37626804964882987,2.21754796315718,142.86125676027496,"Jonathan Aranda",21837,666018
"Pete Alonso","NYM","Pete Alonso",30,105,390,454,105,26,1,22,54,81,47,105,0.269230769,0.36123348,0.51025641,0.3706086203787062,2.3516572881093447,142.74825841090316,"Pete Alonso",19251,624413
"Corey Seager","TEX","Corey Seager",31,73,271,319,74,15,0,15,42,38,42,63,0.27306273,0.376175548,0.494464944,0.3704437028866606,2.985212747486443,141.13658464590605,"Corey Seager",13624,608369
