Name,Team,Name,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,WHIP,FIP,NameASCII,PlayerId,MLBAMID
"Hunter Harvey","KCR","Hunter Harvey",30,0,0,0,6,0,0,0,0,5.1,17,1,0,0,0,0,0,0,7,11.812500770087404,0,7,0,0.1875000122236096,0.5109720426145836,"Hunter Harvey",15507,640451
"Yohan Ramírez","PIT","Yohan Ramírez",30,0,0,5.400000539124066,4,0,0,0,0,6.2,28,5,4,4,0,2,0,1,13,17.550001752153214,2.700000269562033,6.5,0,1.0500001048296794,0.5859719591587531,"Yohan Ramirez",19444,670990
"Tommy Nance","TOR","Tommy Nance",34,0,0,1.8000003433228193,4,0,0,0,0,5,18,2,2,1,0,1,0,0,7,12.600002403259735,1.8000003433228193,7,0,0.6000001144409398,0.9359717941283381,"Tommy Nance",19178,667297
"Joey Lucchesi","SFG","Joey Lucchesi",32,0,1,1.8000001251697628,14,0,0,0,0,15,58,11,3,3,0,2,0,0,17,10.200000709295322,1.2000000834465085,8.5,0,0.8666667269335895,1.269305417272771,"Joey Lucchesi",19320,664192
"Randy Rodríguez","SFG","Randy Rodríguez",25,3,1,0.8244275705678724,43,0,0,0,1,43.2,164,27,6,4,1,8,0,1,59,12.160306665876117,1.6488551411357448,7.375,0.2061068926419681,0.8015268047187648,1.3497124775147271,"Randy Rodriguez",23974,678495
"Darren McCaughan","MIN","Darren McCaughan",29,0,0,1.6875004211907394,3,0,0,0,0,5.1,23,5,1,1,0,1,0,0,6,10.125002527144437,1.6875004211907394,6,0,1.1250002807938264,1.448471792554378,"Darren McCaughan",20038,670766
"Danny Young","NYM","Danny Young",31,0,0,4.320001246261956,10,0,0,0,0,8.1,37,9,5,4,0,3,0,1,13,14.040004050351358,3.240000934696467,4.33333333,0,1.440000415420652,1.45597172908769,"Danny Young",18439,664849
"Grant Taylor","CHW","Grant Taylor",23,0,1,3.9272727953698037,15,1,0,0,3,18.1,73,15,8,8,0,6,0,0,23,11.290909286688185,2.9454545965273526,3.83333333,0,1.1454545653161927,1.6086994599901938,"Grant Taylor",33927,691799
"Ryan Brasier","CHC","Ryan Brasier",37,0,0,0.4909091536860901,19,1,0,0,0,18.1,64,11,1,1,0,2,0,0,16,7.854546458977442,0.9818183073721802,8,0,0.7090909997687969,1.7177902142075236,"Ryan Brasier",5615,518489
"Josh Walker","TOR","Josh Walker",30,0,0,7.200001373291277,3,0,0,0,0,5,25,8,4,4,0,2,0,1,8,14.400002746582555,3.6000006866456387,4,0,2.0000003814697993,1.7359719467162578,"Josh Walker",23617,677020
